year,subject,examType,fileName,origin,sourcePath,sourceUrl,sha256,bytes,previousPdfFileName
2017,reasoning,even,LEET-2017-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2017/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=4&select=&key=&jjubi=&admin_id=&board_seqnum=60544&row_number=32,15dfd21499424c9c5dce1c9f673ecb3866f0eb6da35fd5ea8b4cc9f14d69d8a1,461766,LEET-2017-reasoning-even-viewer.pdf
2018,verbal,odd,LEET-2018-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2018/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2018/,36a4597f0f8ab314175edcab6f456b1a203f4910cb71d64889898d40ec87a471,10348402,
2018,verbal,even,LEET-2018-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2018/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=3&select=&key=&jjubi=&admin_id=&board_seqnum=64064&row_number=30,791aafe538e27e6d036561d952e09f37ad53e3fe3a38bda89fa3d5cb9f45a517,783054,LEET-2018-verbal-even-viewer.pdf
2018,reasoning,odd,LEET-2018-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2018/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2018/,bb448f378638d64f4c97fe61cfffd6253a6a51c225c9c908dd64a40dd7530db4,9046070,
2018,reasoning,even,LEET-2018-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2018/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=3&select=&key=&jjubi=&admin_id=&board_seqnum=64065&row_number=29,d940a71e3a3e168d4f37822d3ff5e81852ff2fdbd4552a17cf06adc713b4d586,488504,LEET-2018-reasoning-even-viewer.pdf
2019,verbal,odd,LEET-2019-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2019/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2019/,9c9e729c10ddbfe9930f95318f1d2b271d05e29e2b4acbe8cb81e703bdea02dd,9941887,
2019,verbal,even,LEET-2019-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2019/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=3&select=&key=&jjubi=&admin_id=&board_seqnum=66676&row_number=27,0eb4e29d51adebe6318fb8e9e1acc9881e4d9f8427eec1dc16d0df73027f5caf,1482001,LEET-2019-verbal-even-viewer.pdf
2019,reasoning,odd,LEET-2019-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2019/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2019/,08714d26c73ff8528b1dc81b2a419f5ba15475d6e3942ced9f0638020234675c,10446159,
2019,reasoning,even,LEET-2019-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2019/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=3&select=&key=&jjubi=&admin_id=&board_seqnum=66677&row_number=26,0c7e0199bf41650439f31d7e236d7c1814c34f40f2cef6cd4d6faf4466d2d4e2,605136,LEET-2019-reasoning-even-viewer.pdf
2020,verbal,odd,LEET-2020-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2020/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2020/,e4edef37a99c40cf4f70e1d8ea21c8d316dc9e9b68c156320c0ae02b301b672b,9494589,
